name,birthday,nationality
Tom Hanks,1956-07-09,American
Julia Roberts,1967-10-28,American
Wagner Moura,1976-06-27,Brazilian
Sandra Bullock,1964-07-26,American
Gisele Bündchen,1980-07-20,Brazilian
Denzel Washington,1954-12-28,American
Camila Mendes,1994-06-29,Brazilian
Brad Pitt,1963-12-18,American
Fernanda Montenegro,1929-10-16,Brazilian
Leonardo DiCaprio,1974-11-11,American
Chris Evans,1981-06-13,American
Gloria Pires,1963-08-23,Brazilian
Meryl Streep,1949-06-22,American
Wagner Moura,1976-06-27,Brazilian
Robert Downey Jr.,1965-04-04,American
Taís Araújo,1978-11-25,Brazilian
Matt Damon,1970-10-08,American
Cauã Reymond,1980-05-20,Brazilian
Angelina Jolie,1975-06-04,American
Rodrigo Santoro,1975-08-22,Brazilian
